patch_diameter_mm,correction,exposure_us,raw_peak,fit_peak,total_counts,sigma_x_px,sigma_y_px,fwhm_x_px,fwhm_y_px,ellipticity,fit_r2,gaussian_area_px2,background,saturated_pixels,x_centroid_px,y_centroid_px,fullframe_max
0.5,OFF,29.681,,,,,,,,,,,0.0,0,,,255.0
0.5,ON,29.681,,,,,,,,,,,0.0,0,,,255.0
1.0,OFF,29.681,,,,,,,,,,,0.0,0,,,255.0
1.0,ON,29.681,,,,,,,,,,,0.0,0,,,255.0
1.5,OFF,29.681,,,,,,,,,,,0.0,0,,,255.0
1.5,ON,29.681,,,,,,,,,,,0.0,0,,,255.0
2.0,OFF,29.681,0.8,0.3756561789384882,110.00000000000003,7.433688265031867,6.710100026111378,17.50499813477831,15.801078045442095,1.1078356859219312,0.5436470690213102,313.4102582820392,0.0,0,3734.042553298594,1823.927346522905,255.0
2.0,ON,29.681,0.6,0.17690680776980103,42.2,6.166704718976054,6.459668275119118,14.521479883840904,15.211356338301075,1.047507310548138,0.33193363228946293,250.28985001236504,0.0,0,3735.4312805480786,1821.117494178324,255.0
2.5,OFF,29.681,1.8,1.4817654597147256,916.0000000000002,10.664652463383202,10.407910561799765,25.113337393733392,24.508756417493295,1.0246679580938904,0.8894943872628469,697.4131425341963,0.0,0,3733.8335638649914,1823.0416695208316,255.0
2.5,ON,29.681,1.4,1.431321802182273,814.8,10.209215043758345,10.019050311811096,24.0408642287577,23.593060506116267,1.018980315102627,0.8903906568087583,642.6859083381013,0.0,0,3734.847120534156,1821.1932566440717,255.0
3.0,OFF,29.681,3.2,3.185664355842844,1737.1999999999998,9.776954203237576,9.627779717088703,23.022967736830847,22.671688666644908,1.0154941731668514,0.96728417126054,591.4385035373073,0.0,0,3733.26820249889,1822.3782736875746,255.0
3.0,ON,29.681,3.6,3.7741205927102133,2113.8,9.943584349478972,9.69310304394121,23.415351745301365,22.825513346123277,1.0258411887712602,0.9742287281117893,605.5997121620596,0.0,0,3734.326827799756,1821.1287195386453,255.0
3.5,OFF,29.681,7.6,7.842903718052121,3796.8,9.018933019326811,9.079484907708297,21.237964258423144,21.38055305894647,1.0067138638519355,0.9903648653081178,514.5128680378369,0.0,0,3733.3288974633174,1822.131582529068,255.0
3.5,ON,29.681,8.2,8.405669262199169,3932.6000000000004,8.98497628588971,8.815877687122965,21.158002261862737,20.759805491905396,1.019181141659184,0.9905886210258731,497.69394791821395,0.0,0,3734.213225416196,1821.3703418587297,255.0
4.0,OFF,29.681,11.4,11.613942358700674,4610.8,8.133784769687383,8.189121551574845,19.153599417375556,19.283907580589943,1.0068033250761304,0.9936087434879717,418.513876222234,0.0,0,3733.114995307308,1822.3911613276105,255.0
4.0,ON,29.681,10.4,10.592092458557824,3996.6,8.062004048322988,7.891816480651091,18.98456873586212,18.58380764009854,1.021565069092668,0.9927031656396788,399.76047981679744,0.0,0,3733.8796349022978,1821.9565697344535,255.0
4.5,OFF,29.681,12.4,12.694923231804067,4095.6000000000004,7.31872268680526,7.335795035921237,17.23427488668528,17.274477196598824,1.0023326951773641,0.9935416236408884,337.3357340472333,0.0,0,3733.678558914244,1821.241688070433,255.0
4.5,ON,29.681,14.0,14.501481140714622,4445.2,7.28631608214343,7.081520075372323,17.157963164437216,16.675705422556657,1.028919780582609,0.9934156376640388,324.20101197494284,0.0,0,3734.620401536882,1820.9570953217458,255.0
5.0,OFF,29.681,20.8,20.681109173133347,5968.4,6.7941662829842375,6.8482590955002065,15.999038952234423,16.126417791437454,1.0079616556709015,0.9939158513096275,292.3453719996774,0.0,0,3733.568941436969,1820.898984673093,255.0
5.0,ON,29.681,28.0,28.961365311790402,7786.799999999999,6.8191743046136,6.591294162650904,16.057928342853042,15.521311616701837,1.0345728981804458,0.9959158213692938,282.411484776482,0.0,0,3734.4187920673235,1820.8963604090484,255.0
5.5,OFF,29.681,34.0,33.89497144227572,8862.0,6.349243315945075,6.424005746955501,14.95132543096973,15.127377502126011,1.0117750143269313,0.99491894185825,256.27589541406456,0.0,0,3733.5521204755555,1821.419821840751,255.0
5.5,ON,29.681,39.4,40.17116027551315,9122.4,6.2340088648552,6.067641029390136,14.679969035668721,14.288202721872326,1.0274188658589425,0.9966345023139599,237.66605818920016,0.0,0,3734.456640094271,1820.6802344682706,255.0
6.0,OFF,29.681,47.6,48.10706453935538,11424.0,5.96867563166048,6.057398620769934,14.055157019537134,14.264083692744393,1.01486476977218,0.9947359812899567,227.16635020357347,0.0,0,3733.3145170713183,1821.5380091065751,255.0
6.0,ON,29.681,58.6,60.503374855574215,11935.400000000001,5.7804577668481,5.639921104334489,13.61193781864984,13.28099926870539,1.0249181965339202,0.9972549204587217,204.84017095929565,0.0,0,3734.246782615858,1821.1813752049948,255.0
6.5,OFF,29.681,58.2,58.184811859760735,12730.400000000001,5.6632209715421356,5.808087222407358,13.335866263051795,13.67700021443322,1.0255801868924381,0.99388699950474,206.66955561343318,0.0,0,3733.4203109293053,1820.8934578576636,255.0
6.5,ON,29.681,77.6,79.31324677315982,13795.2,5.391393578232922,5.283754691104725,12.69576166850716,12.442291459476188,1.020371666252676,0.9975134557488003,178.98785018654394,0.0,0,3734.2492402784264,1820.8539884650247,255.0
7.0,OFF,29.681,77.4,75.14854174116968,15486.2,5.401919204956653,5.650136161804808,12.72054762530239,13.305053890797323,1.045949772188447,0.9921661211790386,191.77273699535954,0.0,0,3733.67604211396,1821.0312506547511,255.0
7.0,ON,29.681,92.4,94.10520902831287,14852.0,5.1343793963995585,5.005598117793562,12.09053952127668,11.787282784994549,1.0257274506613334,0.9978663085211977,161.4818826444884,0.0,0,3734.2140427137538,1821.2048199372382,255.0
7.5,OFF,29.681,87.4,85.41614073875748,16866.6,5.1750380002935055,5.607567750720033,12.186283216727862,13.204812943091097,1.0835800143693624,0.9900489985942821,182.33411815830874,0.0,0,3733.694937356059,1821.1137295149792,255.0
7.5,ON,29.681,117.2,120.11465774681514,16725.6,4.796092424266848,4.7164768417511596,11.293934578336218,11.106454208733922,1.0168803081594542,0.998121389646818,142.1297913247451,0.0,0,3734.62044042253,1820.5977154203697,255.0
8.0,OFF,29.681,96.4,92.84606329050987,17921.8,5.046430772649514,5.593886092230987,11.883436339139912,13.172595099432245,1.1084836678130123,0.9875034952595065,177.36903652581626,0.0,0,3733.710749683353,1820.3280407857906,255.0
8.0,ON,29.681,138.4,141.76533786066906,17789.2,4.5613095652125,4.466223008947085,10.74106319561263,10.51715146690881,1.0212901496577602,0.9982149041185695,127.99995611396056,0.0,0,3734.360196752539,1820.7384507827687,255.0
8.5,OFF,29.681,109.8,105.54284564311578,20036.4,4.920728029379406,5.6174107997279075,11.587428999575973,13.227991552198755,1.1415812388307032,0.985340640825942,173.67824233269008,0.0,0,3733.9262548561715,1820.6288214528804,255.0
8.5,ON,29.681,159.0,162.85771542055895,18642.8,4.336001677858891,4.281522785227024,10.210503666175748,10.082215677776825,1.0127241860816067,0.998416156023453,116.64538731804441,0.0,0,3734.575345547364,1821.039049267055,255.0
9.0,OFF,29.681,96.2,90.58922767623149,17135.199999999997,4.761673799145075,5.794938407259874,11.212884909978126,13.646037120955924,1.216996092487544,0.9836684717808171,173.37574218839316,0.0,0,3733.969318285823,1820.587125453132,255.0
9.0,ON,29.681,148.0,151.08231865590477,16031.799999999997,4.185560268689179,4.125918254917617,9.856241220264865,9.715795010711425,1.0144554521167441,0.9985749404793616,108.50608334339555,0.0,0,3734.5179952176236,1820.8868569833112,255.0
9.5,OFF,29.681,74.4,68.84789993208817,13053.0,4.6811425355687355,5.9162714882553615,11.023248276259384,13.931754692205706,1.2638520282819297,0.981928946711767,174.01225232227821,0.0,0,3734.1187595429346,1819.4791170928163,255.0
9.5,ON,29.681,163.2,166.16066350432965,16228.0,3.9969057710081803,3.985543405940775,9.411993827546242,9.385237502526909,1.002850894824146,0.9986747482751024,100.0901456803039,0.0,0,3734.685972031254,1820.7738275561053,255.0
