scan_index,test_gray,power_frame_1,power_frame_2,power_frame_3,power_mean,power_std,background_frame_1,background_frame_2,background_frame_3,background_mean,peak_frame_1,peak_frame_2,peak_frame_3,peak_max,saturated_frame_1,saturated_frame_2,saturated_frame_3,saturated_total,elapsed_s
0,255,3537.0,3645.0,3558.0,3580.0,57.262553208881634,0.0,0.0,0.0,0.0,2,2,3,3,0,0,0,0,1.4593240999984118
1,254,3391.0,3632.0,3623.0,3548.6666666666665,136.617470820292,0.0,0.0,0.0,0.0,2,2,2,2,0,0,0,0,2.904235799998787
2,253,3624.0,3519.0,3690.0,3611.0,86.23804264940155,0.0,0.0,0.0,0.0,2,2,2,2,0,0,0,0,4.343170399999508
3,252,3622.0,3663.0,3593.0,3626.0,35.17101079013795,0.0,0.0,0.0,0.0,2,2,2,2,0,0,0,0,5.778856299999461
4,251,3600.0,3656.0,3647.0,3634.3333333333335,30.072135496724098,0.0,0.0,0.0,0.0,2,2,2,2,0,0,0,0,7.235153799998443
5,250,3644.0,3503.0,3678.0,3608.3333333333335,92.79188182881805,0.0,0.0,0.0,0.0,2,3,2,3,0,0,0,0,8.678651700000046
6,249,3788.0,3608.0,3772.0,3722.6666666666665,99.62596716385409,0.0,0.0,0.0,0.0,2,2,2,2,0,0,0,0,10.140251599999829
7,248,3812.0,3743.0,3678.0,3744.3333333333335,67.00994951000436,0.0,0.0,0.0,0.0,2,2,2,2,0,0,0,0,11.61565729999893
8,247,3736.0,3608.0,3653.0,3665.6666666666665,64.93329911018947,0.0,0.0,0.0,0.0,3,3,3,3,0,0,0,0,13.09162429999924
9,246,3789.0,3772.0,3832.0,3797.6666666666665,30.924639582917266,0.0,0.0,0.0,0.0,2,2,2,2,0,0,0,0,14.540624999999636
10,245,3750.0,3711.0,3822.0,3761.0,56.31163290120435,0.0,0.0,0.0,0.0,2,2,3,3,0,0,0,0,15.981491099999403
11,244,3858.0,3925.0,3848.0,3877.0,41.86884283091664,0.0,0.0,0.0,0.0,3,3,3,3,0,0,0,0,17.437216499998613
12,243,3768.0,3983.0,3851.0,3867.3333333333335,108.42662649613946,0.0,0.0,0.0,0.0,2,2,3,3,0,0,0,0,18.876151599999503
13,242,3998.0,4078.0,4038.0,4038.0,40.0,0.0,0.0,0.0,0.0,2,2,3,3,0,0,0,0,20.336026399998445
14,241,4088.0,4186.0,4157.0,4143.666666666667,50.34216258101487,0.0,0.0,0.0,0.0,3,2,2,3,0,0,0,0,21.794120299999122
15,240,4135.0,4246.0,4154.0,4178.333333333333,59.366095823570326,0.0,0.0,0.0,0.0,2,2,2,2,0,0,0,0,23.283393499999875
16,239,4546.0,4441.0,4484.0,4490.333333333333,52.78573039499722,0.0,0.0,0.0,0.0,3,2,2,3,0,0,0,0,24.731774199999563
17,238,4549.0,4633.0,4511.0,4564.333333333333,62.42862591258383,0.0,0.0,0.0,0.0,2,3,2,3,0,0,0,0,26.204153799999403
18,237,4947.0,5041.0,4889.0,4959.0,76.70723564306043,0.0,0.0,0.0,0.0,2,2,2,2,0,0,0,0,27.651883499998803
19,236,5399.0,5421.0,5356.0,5392.0,33.06055050963308,0.0,0.0,0.0,0.0,2,2,2,2,0,0,0,0,29.12076429999979
20,235,6018.0,5959.0,5865.0,5947.333333333333,77.16432681837725,0.0,0.0,0.0,0.0,2,2,2,2,0,0,0,0,30.569596399998773
