gray,time_s,power,background,peak,saturated
255,0.5183088000003409,14.0,0.0,1,0
254,1.0478676000002451,11.0,0.0,2,0
253,1.5666465000003882,3.0,0.0,2,0
252,2.0890669999998863,5.0,0.0,2,0
251,2.615014300000439,9.0,0.0,2,0
250,3.1370793000005506,7.0,0.0,2,0
249,3.6627910000006523,9.0,0.0,1,0
248,4.185869500000081,4.0,0.0,1,0
247,4.710146400000667,5.0,0.0,2,0
246,5.229037799999787,6.0,0.0,2,0
245,5.75394310000047,14.0,0.0,2,0
244,6.274215800000093,12.0,0.0,1,0
243,6.795510599999943,17.0,0.0,1,0
242,7.32076060000054,17.0,0.0,2,0
241,7.850001900000279,36.0,0.0,2,0
240,8.369748600000094,74.0,0.0,2,0
239,8.891127800000504,175.0,0.0,2,0
238,9.414564600000631,485.0,0.0,2,0
237,9.945655999999872,1115.0,0.0,2,0
236,10.4717569000004,2329.0,0.0,2,0
235,10.998726100000567,4738.0,0.0,2,0
234,11.52427650000027,8518.0,0.0,2,0
233,12.050938100000167,13664.0,0.0,2,0
232,12.58025540000017,22133.0,0.0,2,0
231,13.107588900000337,30172.0,0.0,2,0
230,13.632824000000255,40910.0,0.0,2,0
229,14.169263200000387,53169.0,0.0,2,0
228,14.697879000000285,63628.0,0.0,3,0
227,15.22724400000061,77574.0,0.0,3,0
226,15.761611800000537,91424.0,0.0,3,0
225,16.307624099999884,109400.0,0.0,3,0
224,16.85536300000058,126836.0,0.0,3,0
223,17.392386800000168,147873.0,0.0,3,0
222,17.928180100000645,174198.0,0.0,4,0
221,18.462690100000145,200127.0,0.0,4,0
220,18.995386800000233,225404.0,0.0,5,0
219,19.512962200000402,257562.0,0.0,5,0
218,20.047433499999897,289132.0,0.0,5,0
217,20.56964870000047,327433.0,0.0,6,0
216,21.090048600000046,365171.0,0.0,6,0
215,21.623156800000288,411489.0,0.0,6,0
214,22.15757450000001,454904.0,0.0,7,0
213,22.68462030000046,508442.0,0.0,8,0
212,23.2124859000005,551892.0,0.0,8,0
211,23.742126500000268,609377.0,0.0,8,0
210,24.269087300000137,663140.0,0.0,9,0
209,24.78925849999996,725260.0,0.0,9,0
208,25.31571239999994,789689.0,0.0,11,0
207,25.83847700000024,860734.0,0.0,11,0
206,26.359143000000586,938102.0,0.0,11,0
205,26.89010330000019,1013320.0,0.0,13,0
204,27.41691340000034,1088559.0,0.0,12,0
203,27.93159569999989,1176114.0,0.0,13,0
202,28.45546850000028,1258246.0,0.0,14,0
201,28.98038540000016,1351479.0,0.0,15,0
200,29.5113295000001,1444512.0,0.0,16,0
199,30.040783000000374,1546827.0,0.0,17,0
198,30.569870400000582,1647502.0,0.0,18,0
197,31.099240100000316,1752246.0,0.0,18,0
196,31.633707800000593,1858432.0,0.0,19,0
195,32.16725970000061,1985493.0,0.0,21,0
194,32.700475700000425,2087902.0,0.0,21,0
193,33.22997470000064,2228906.0,0.0,23,0
192,33.755436100000225,2331810.0,0.0,24,0
191,34.282920800000284,2485085.0,0.0,26,0
190,34.80126939999991,2619443.0,0.0,26,0
189,35.32864289999998,2773733.0,0.0,27,0
188,35.85850650000066,2901831.0,0.0,28,0
187,36.38764790000005,3063390.0,0.0,30,0
186,36.91936930000065,3202606.0,0.0,32,0
185,37.44628230000035,3385787.0,0.0,33,0
184,37.96989120000035,3533069.0,0.0,34,0
183,38.498626700000386,3705362.0,0.0,36,0
182,39.01996430000054,3882235.0,0.0,37,0
181,39.54923120000058,4094663.0,0.0,39,0
180,40.08081080000011,4245449.0,0.0,40,0
