gray,time_s,power,background,peak,saturated
255,0.6273714999988442,19.0,0.0,1,0
254,1.1468487000001915,5108.0,0.0,2,0
253,1.667776700000104,18738.0,0.0,2,0
252,2.184681400000045,47812.0,0.0,2,0
251,2.7134630999989895,82643.0,0.0,2,0
250,3.2462830999993457,123286.0,0.0,3,0
249,3.7776768999992782,180092.0,0.0,4,0
248,4.302218400000129,248729.0,0.0,5,0
247,4.832942099999855,320486.0,0.0,6,0
246,5.355668700000024,400785.0,0.0,6,0
245,5.883697399998709,492105.0,0.0,7,0
244,6.4073358999994525,594904.0,0.0,8,0
243,6.9357304999994085,714599.0,0.0,9,0
242,7.455563299999994,847561.0,0.0,11,0
241,7.9844581999986985,978087.0,0.0,12,0
240,8.51079049999862,1108564.0,0.0,13,0
239,9.035916499999075,1269683.0,0.0,14,0
238,9.560431599998992,1418565.0,0.0,15,0
237,10.091644999998607,1605128.0,0.0,17,0
236,10.611890899999707,1769322.0,0.0,19,0
235,11.135999199999787,1948954.0,0.0,20,0
234,11.658791300000303,2161768.0,0.0,22,0
233,12.189201799999864,2343209.0,0.0,23,0
232,12.716522199998508,2558747.0,0.0,27,0
231,13.245718699999998,2767286.0,0.0,27,0
230,13.76805830000012,3015129.0,0.0,29,0
229,14.295968999998877,3264099.0,0.0,31,0
228,14.826709599999958,3495670.0,0.0,34,0
227,15.361467199998515,3769236.0,0.0,36,0
226,15.895298999999795,4022745.0,0.0,39,0
225,16.427238299998862,4273391.0,0.0,39,0
224,16.951742600000216,4582768.0,0.0,43,0
223,17.484801900000093,4816591.0,0.0,46,0
222,18.014759099998628,5139861.0,0.0,47,0
221,18.545162399999754,5367979.0,0.0,50,0
220,19.07934539999951,5723242.0,0.0,52,0
219,19.61215059999995,6024037.0,0.0,54,0
218,20.14230889999999,6315300.0,0.0,56,0
217,20.667142099999182,6671658.0,0.0,60,0
216,21.19570389999899,6991330.0,0.0,63,0
215,21.72494430000006,7332413.0,0.0,65,0
214,22.256286899999395,7654030.0,0.0,68,0
213,22.782464599999003,7968492.0,0.0,70,0
212,23.303187999999864,8352721.0,0.0,73,0
211,23.825539699999354,8664014.0,0.0,76,0
210,24.34793659999923,9013347.0,0.0,78,0
209,24.877532900000006,9387274.0,0.0,83,0
208,25.410115900000164,9786381.0,0.0,85,0
207,25.941074399999707,10148299.0,0.0,87,0
206,26.470942599999034,10502690.0,0.0,89,0
205,26.994289999998728,10937674.0,0.0,93,0
204,27.519404499998927,11259365.0,0.0,94,0
203,28.047012899998663,11630435.0,0.0,98,0
202,28.575526399999944,12040793.0,0.0,101,0
201,29.09586599999966,12353849.0,0.0,102,0
200,29.627426399998512,12761560.0,0.0,106,0
199,30.153493499999968,13206023.0,0.0,110,0
198,30.678827899999305,13581753.0,0.0,114,0
197,31.201743599998736,13967151.0,0.0,116,0
196,31.72457629999917,14362697.0,0.0,118,0
195,32.25068949999877,14863332.0,0.0,122,0
194,32.778195299999425,15198298.0,0.0,123,0
193,33.30477090000022,15576671.0,0.0,127,0
192,33.83345829999962,16066784.0,0.0,129,0
191,34.36135789999935,16308853.0,0.0,130,0
190,34.894459399998595,16806451.0,0.0,134,0
189,35.411595800000214,17235011.0,0.0,139,0
188,35.931097200000295,17634892.0,0.0,142,0
187,36.454635599999165,18040403.0,0.0,142,0
186,36.97734329999912,18310262.0,0.0,145,0
185,37.50482649999867,18797926.0,0.0,146,0
184,38.030248799999754,19169613.0,0.0,149,0
183,38.558353200000056,19670312.0,0.0,152,0
182,39.083864000000176,19907233.0,0.0,153,0
181,39.60981029999857,20298074.0,0.0,158,0
180,40.14309200000025,20749681.0,0.0,160,0
179,40.67694189999929,21108678.0,0.0,159,0
178,41.200415299999804,21497082.0,0.0,164,0
177,41.72720019999906,21842252.0,0.0,161,0
176,42.24891969999953,22286744.0,0.0,169,0
175,42.77706279999984,22767304.0,0.0,169,0
174,43.300737800000206,23091561.0,0.0,173,0
173,43.82723719999922,23387530.0,0.0,176,0
172,44.35264149999966,23843255.0,0.0,175,0
171,44.87789479999992,24084829.0,0.0,181,0
170,45.40361979999943,24411111.0,0.0,178,0
169,45.92559859999892,24811877.0,0.0,181,0
168,46.45383149999907,25133729.0,0.0,182,0
167,46.983072099999845,25404899.0,0.0,181,0
166,47.51078939999934,25791696.0,0.0,186,0
165,48.03750070000024,26110327.0,0.0,186,0
164,48.56323869999869,26439663.0,0.0,186,0
163,49.08871859999999,26776949.0,0.0,192,0
162,49.6187020999987,27103196.0,0.0,193,0
161,50.14363719999892,27227577.0,0.0,191,0
160,50.674722399999155,27547002.0,0.0,197,0
159,51.20185219999985,27878802.0,0.0,195,0
158,51.71969549999994,28168253.0,0.0,198,0
157,52.244652999999744,28484961.0,0.0,200,0
156,52.77429779999875,28723047.0,0.0,202,0
155,53.2907266000002,28937983.0,0.0,199,0
154,53.809441100000186,29295556.0,0.0,200,0
153,54.32657149999977,29508451.0,0.0,205,0
152,54.844697699998505,29720989.0,0.0,203,0
151,55.365224499999385,29849444.0,0.0,205,0
150,55.87802449999981,30089351.0,0.0,205,0
149,56.41272799999933,30399802.0,0.0,208,0
148,56.94249839999975,30595352.0,0.0,209,0
147,57.45817579999857,30751074.0,0.0,209,0
146,57.97857049999948,31014646.0,0.0,210,0
145,58.4962601999996,31196528.0,0.0,209,0
144,59.012403199998516,31436545.0,0.0,211,0
143,59.52622949999932,31601292.0,0.0,213,0
142,60.04186899999877,31593766.0,0.0,213,0
141,60.562976100000014,31739377.0,0.0,211,0
140,61.0893546999996,31937701.0,0.0,211,0
139,61.61085119999916,32075466.0,0.0,214,0
138,62.13317610000013,32182018.0,0.0,213,0
137,62.647402200000215,32249716.0,0.0,214,0
136,63.183040699999765,32295858.0,0.0,214,0
135,63.733111599998665,32513320.0,0.0,215,0
134,64.24573129999953,32497337.0,0.0,214,0
133,64.76193739999871,32490639.0,0.0,214,0
132,65.27682159999858,32722058.0,0.0,219,0
131,65.79434939999919,32856341.0,0.0,214,0
130,66.31019869999909,32845078.0,0.0,217,0
129,66.82974469999863,32818362.0,0.0,216,0
128,67.34279900000001,32815067.0,0.0,212,0
127,67.85576109999965,32844569.0,0.0,213,0
126,68.3663102999999,32785587.0,0.0,214,0
125,68.87990290000016,32736939.0,0.0,212,0
